900,10,c,d,e,f,g,h,i,j,res
0.865874708,0.820106596,0.150704431,0.627245984,0.19453678,0.913716318,0.569297894,0.643728125,0.275551608,0.649479039,0.177251929
0.343617366,0.140894357,0.9011357,0.416433035,0.714652943,0.953001468,0.2806044,0.538037583,0.123400512,0.181083975,-0.633059251
0.437808868,0.181461285,0.802879148,0.224883788,0.112854828,0.918778253,0.587998366,0.799796671,0.950890772,0.530154495,-0.481651165
0.424820135,0.789778288,0.225732579,0.581191976,0.586615423,0.008882085,0.745311144,0.18488011,0.69861141,0.627276238,-0.061045307
0.787573349,0.935548986,0.384365801,0.305847513,0.802500621,0.823124146,0.027616747,0.384118084,0.183591876,0.75226248,-0.110054943
0.481643524,0.333619313,0.517375544,0.986051704,0.80802137,0.738147893,0.305229192,0.199928166,0.940408044,0.293729462,-0.228488569
0.838503787,0.406778668,0.511710481,0.3541942,0.519092747,0.826996616,0.970096401,0.172063623,0.991019176,0.952100983,-0.049357419
0.263409686,0.367117734,0.12530946,0.853166008,0.079121497,0.270157773,0.096094644,0.401406265,0.30700937,0.637417438,0.026578615
0.785601656,0.292275066,0.505712551,0.242037846,0.223789745,0.652286913,0.511860995,0.12644198,0.421388443,0.759583607,-0.0099241
0.525112939,0.115118759,0.398395613,0.796507619,0.759757927,0.414885106,0.368527496,0.479201836,0.895754773,0.86999101,0.028443051
0.026153425,0.79316823,0.351261673,0.934074815,0.697710794,0.595878018,0.28856513,0.81952321,0.124007395,0.009164233,-0.341149522
0.793007849,0.512312009,0.381758346,0.932877898,0.430266463,0.90249653,0.369631716,0.387773203,0.83823655,0.302258256,0.009923191
0.518775424,0.399765696,0.248992237,0.245978017,0.893256233,0.636291209,0.532966853,0.053098287,0.489506058,0.499919979,0.039291382
0.982409768,0.957153998,0.11127586,0.472864635,0.838791583,0.77638364,0.689953464,0.451310961,0.356231664,0.987425692,0.225822953
0.587474357,0.672038724,0.717381121,9.63521E-05,0.148854506,0.243143029,0.699694951,0.214700115,0.80644092,0.391107242,-0.46676041
0.333017177,0.746606337,0.751990091,0.77443844,0.635830371,0.447780788,0.588603236,0.904430194,0.855021716,0.15572107,-0.618420589
0.32686337,0.69769345,0.356176056,0.658029532,0.161636653,0.726273714,0.491854922,0.669534793,0.912739593,0.362625808,-0.2197207
0.731084439,0.216215357,0.177139871,0.262106788,0.707133094,0.968078048,0.713373534,0.129957794,0.875420008,0.816008316,0.333240443
0.982155201,0.482017015,0.540891424,0.792176504,0.958438796,0.345907934,0.741340201,0.78250655,0.63084632,0.805367496,-0.040821066
0.181236302,0.687484556,0.106974536,0.074317479,0.2122705,0.022965606,0.113888536,0.075706106,0.850185665,0.636476108,-0.030663522
0.3522638,0.721303939,0.048830246,0.866402614,0.005756304,0.692995662,0.22980705,0.460468576,0.979375653,0.977673864,0.095386025
0.671616633,0.387307821,0.440474518,0.955204067,0.037558777,0.254721409,0.609970901,0.315688306,0.063869158,0.178883514,-0.062016999
0.248819167,0.957105393,0.933730545,0.961982652,0.82596574,0.60194632,0.437506478,0.2879354,0.211588402,0.369438875,-0.848349224
0.670168791,0.179014266,0.670927613,0.361768561,0.457778511,0.880109062,0.867058789,0.970743486,0.94062111,0.450697909,-0.17744108
